Gene,dropout,highly_variable,F_pval,Adj_F_pval
GSTM2,0.7048398091342877,1,2.366436001545845e-177,6.67854693922642e-173
CD7,0.21881390593047034,1,8.654317543623176e-143,9.228334411693282e-139
CCL5,0.14246762099522836,1,3.3501124931571578e-109,3.254272112778594e-105
IFITM2,0.19768234492160872,1,2.1746674620822198e-105,2.2578314018747285e-101
PLAAT3,0.6039536468984322,1,5.428343721650009e-104,1.1417376488188037e-99
S100A6,0.18541240627130198,1,2.9875277590649242e-102,3.055055886512709e-98
MAL,0.4703476482617587,1,7.141123204571746e-90,1.1231056767492823e-85
IL32,0.0006816632583503749,0,1.4633564395914563e-89,1.2198074120747578e-85
HLA-A,0.0,0,3.970524747869008e-89,3.307447114974884e-85
ZEB2,0.7566462167689162,1,3.216863440339647e-89,1.1011323556282612e-84
ANXA1,0.5030674846625767,1,3.9644273946227177e-79,6.645506014993555e-75
S100A4,0.25357873210633947,1,2.3904416752147725e-78,2.667713262073862e-74
NME2,0.17995910020449898,0,3.7376493838537695e-71,3.7967154291043464e-67
LINC01943,0.6162235855487389,1,1.9294686569691086e-69,4.1879785487948086e-65
RPS16,0.0054533060668029995,1,7.927427881405516e-68,6.63975604714478e-64
SESN3,0.45807770961145194,1,8.881687328774595e-68,1.3652225929966252e-63
ARG2,0.7505112474437627,1,5.8768180517006205e-67,1.962168389119324e-62
EEF1A1,0.0,0,2.707253640402361e-65,2.2551422824551668e-61
ITM2C,0.6155419222903885,1,2.7697229551938686e-64,6.001120422339387e-60
RPS12,0.0013633265167007499,0,1.3195662099619487e-58,1.1006992653937276e-54
EEF1B2,0.05521472392638037,1,4.383990640418819e-57,3.8652848387365384e-53
GPR15,0.7334696659850034,1,1.3497700913462016e-56,4.218501020706044e-52
RPL10A,0.02044989775051125,1,1.0525310313857552e-55,8.950622812767837e-52
RPS8,0.0013633265167007499,1,2.6902702371525738e-55,2.2440544865345077e-51
B2M,0.0,0,3.4026856793930396e-53,2.834437170934402e-49
SPOCK2,0.6298568507157464,1,1.5691068779444088e-52,3.531244686968185e-48
HLA-B,0.0006816632583503749,0,8.578543833463096e-51,7.150801451892273e-47
IL7R,0.38445807770961143,1,4.994186065875102e-50,6.7585274734729775e-46
RPS2,0.002044989775051125,1,1.1584614479623936e-49,9.669758418620032e-46
LYST,0.4403544648943422,1,3.291808199434124e-48,4.899666053104378e-44
RPL13,0.0,0,6.196490145712437e-47,5.1616762913784596e-43
RPL12,0.002044989775051125,1,8.55169560404565e-47,7.1381599021826704e-43
JAML,0.45875937286980234,1,7.294578720736516e-47,1.122677007192185e-42
PLIN2,0.3224267211997273,1,2.1958542553788216e-46,2.6995553867904723e-42
MZB1,0.5964553510565781,1,1.0832689296695656e-45,2.2360921419162765e-41
RPL3,0.0027266530334014998,0,1.0365700890884385e-44,8.658236849877318e-41
AOAH,0.3946830265848671,1,1.2467286741850905e-44,1.715671344447744e-40
RPS24,0.0013633265167007499,0,4.542973243547619e-44,3.78946298724974e-40
EEF2,0.01772324471710975,0,2.46567411822438e-43,2.09096522892817e-39
IL2RA,0.667348329925017,1,9.189120415512362e-44,2.301066850016532e-39
EOMES,0.8159509202453987,1,9.88447415452942e-42,4.473680054092833e-37
RPL6,0.00408997955010225,0,9.235481234109574e-41,7.72474993728643e-37
KLK1,0.8929788684389911,0,1.5129830863228943e-41,1.1776318307646661e-36
FKBP11,0.4512610770279482,1,1.3319296252871969e-40,2.0219039171761897e-36
NKG7,0.5814587593728698,1,1.6788882327946667e-40,3.341400469455446e-36
RPL17,0.0013633265167007499,0,1.3532865622869778e-39,1.1288266657111755e-35
EGR1,0.7402862985685071,1,3.598291240199861e-39,1.1541079991411738e-34
RPL4,0.047716428084526245,1,9.48323092518174e-36,8.295356124632972e-32
LHFPL6,0.9311520109066121,1,3.435937886305142e-36,4.157182071664984e-31
PLAAT4,0.03953646898432175,1,1.2042555728533698e-34,1.0444382944202408e-30
RPLP0,0.0013633265167007499,1,2.1507270778434813e-34,1.79400146561269e-30
UQCRB,0.05725971370143149,0,2.772888842173941e-34,2.450108942092422e-30
TSC22D3,0.5426039536468984,1,2.572131408152467e-34,4.684311287940095e-30
LTB,0.3715064758009543,1,2.6896403928472665e-33,3.5648266226721046e-29
SH2D1B,0.9420586230402181,1,1.7499824968305726e-33,2.5158798363934415e-28
LY6E,0.130879345603272,0,2.85344125697794e-32,2.7348522383379367e-28
PDE6G,0.7600545330606681,1,1.2555072231845607e-31,4.3586466969062174e-27
RPL36A,0.02794819359236537,1,5.876663547417409e-31,5.036008063284078e-27
GLIPR1,0.7286980231765507,0,3.4641762803048773e-31,1.0636335478571967e-26
GAS5,0.12678936605316973,1,1.3943653026407872e-30,1.3301559233765584e-26
RAMP1,0.6905248807089298,1,1.7447376699916077e-30,4.69623045119849e-26
MAF,0.7750511247443763,0,3.6429340170341146e-30,1.349001648815114e-25
RPL15,0.002044989775051125,0,2.1258710520676908e-29,1.7744793785575756e-25
RPL7A,0.0013633265167007499,0,5.380816973831034e-29,4.488339611609717e-25
SH3BGRL3,0.007498295841854124,0,6.345497586310828e-29,5.32573341411077e-25
SNED1,0.3605998636673483,1,4.1685325594010905e-29,5.430695779793482e-25
AC108134.3,0.9325153374233128,0,7.37096422235152e-30,9.09838319224242e-25
RPS5,0.0034083162917518746,1,3.6596859697682523e-28,3.0589442623819917e-24
FOXP3,0.8459441036128152,1,1.9219588180571204e-28,1.0392277952269025e-23
PALLD,0.9318336741649625,1,1.1173276494751292e-28,1.3653866782627528e-23
PLPP1,0.44171779141104295,1,1.1005167389403428e-27,1.642055629632756e-23
FTH1,0.0006816632583503749,1,3.232409255320297e-27,2.694433606073132e-23
LIMA1,0.44648943421949555,1,3.250477422556686e-27,4.891772371448176e-23
DOCK5,0.9413769597818678,1,4.0342486877795976e-27,5.732437526979341e-22
RPS6,0.004771642808452625,1,8.174698750473419e-26,6.842172462167654e-22
RNF130,0.9168370824812543,1,1.2251407300733175e-26,1.2271602038505125e-21
RPS23,0.0006816632583503749,1,1.5507067149881254e-25,1.2926198250268446e-21
IER2,0.3592365371506476,1,1.2815280273302776e-25,1.6660014321339362e-21
ANXA5,0.37014314928425357,0,1.4307515460512214e-25,1.8922014367333322e-21
RPL13A,0.006134969325153374,0,2.9384734976098755e-25,2.462857981678835e-21
CD82,0.4130879345603272,0,1.9057353698400505e-25,2.7047962660088384e-21
MYO1D,0.8493524199045671,1,9.50524270851373e-26,5.2558873970468645e-21
LEF1,0.9366053169734151,1,5.594381389012563e-26,7.35096300598777e-21
PTPRC,0.03885480572597137,0,1.3691725772299293e-24,1.1866269150874632e-20
CNIH1,0.38718473074301296,0,4.783431357990045e-24,6.502119841166599e-20
DPP4,0.7511929107021131,1,2.12229743546796e-24,7.105399483325033e-20
CRIP1,0.03408316291751875,0,1.2442435061755542e-23,1.0730269945131229e-19
NCF4,0.588957055214724,1,1.1219220697579698e-23,2.2736336822338415e-19
RUNX1,0.4233128834355828,1,5.971016522048507e-23,8.62487928028962e-19
CD40LG,0.7164280845262441,1,3.2286284894900897e-23,9.484181560265083e-19
CAPG,0.5030674846625767,1,9.853438565965994e-23,1.651716092652218e-18
TOX,0.8227675528289026,1,1.0198853177221043e-22,4.793504142288103e-18
RPS7,0.00408997955010225,0,6.294314343793778e-22,5.2646963487842426e-18
CD27,0.7150647580095433,1,3.37356717088842e-22,9.862526775273993e-18
RAB6B,0.9393319700068167,0,7.862433986124178e-23,1.0795484064963595e-17
MYL6,0.007498295841854124,0,3.1303496992853147e-21,2.627281432948727e-17
LGMN,0.8895705521472392,1,4.43338053222281e-22,3.3442220849148936e-17
LGALS1,0.2985685071574642,1,2.9485990873628698e-21,3.501672030463934e-17
EIF4A1,0.14246762099522836,0,6.052696124770474e-21,5.879539939687514e-17
