,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample3', 'CD8')","('Sample4', 'CD4')","('Sample5', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_1,ARMH1,CCL5,NOSIP,NKG7,TCF7,ANXA3,MAL,GSTM2,KLRC1
Gene_2,CCR7,NKG7,IL7R,HOPX,PLAC8,IL4I1,TRG-AS1,CD7,XCL1
Gene_3,MT-CO3,PECAM1,SP140,AOAH,SPINT2,NETO2,CD44,CCL5,AHNAK
Gene_4,NCF4,BEX3,LEF1,PASK,CD7,CCR7,LAG3,IFITM2,RAMP1
Gene_5,IFITM2,ENPP3,CXCR6,CTSW,LEF1,AZIN1-AS1,LITAF,PLAAT3,CD8B
Gene_6,CD7,SIRPG,CD5,GZMA,RPS4X,CACYBP,KLRB1,S100A6,ITGB1
Gene_7,IL32,FXYD5,AQP3,CD8B,GSTM2,TP63,RPS2,MAL,AC069277.1
Gene_8,CCL5,SPINT2,CD7,KLF2,FTL,SELL,FCER1G,IL32,COL6A2
Gene_9,IFITM1,CST7,RPL18A,BEX4,SPOCK2,ACTN1,RPL41,HLA-A,CST7
Gene_10,FYB1,NELL2,BST2,LSP1,SIRPG,CD52,NELL2,ZEB2,TESC
Gene_11,RPLP0,EOMES,GSTM2,RPS15A,CD6,IL12RB2,ENTPD1,ANXA1,ITM2C
Gene_12,MT-ND2,TRG-AS1,CRIP1,S100A6,CCL5,B2M,RPL10,S100A4,SP140
Gene_13,CD5,HOPX,RPS7,RPS14,FTH1,IFITM1,IL9R,NME2,TOX
Gene_14,MT-CYB,PRF1,RPL5,RPL10,MT-CO3,LEF1,CD81,LINC01943,KRT7
Gene_15,TCF7,GSTM2,HLA-DRB1,RPS2,LGALS1,LTB,MMP25,RPS16,ERVMER61-1
Gene_16,JUN,CDKN2A,IFITM2,RPL13,GZMA,MPC2,CXCR3,SESN3,TNFSF10
Gene_17,RPS2,C1orf162,RPLP0,EEF1A1,MT-CO1,MALAT1,NPDC1,ARG2,LAT2
Gene_18,MT-ATP8,IFITM1,HLA-DPA1,RPL26,PECAM1,PKM,NKG7,EEF1A1,CTSW
Gene_19,EGR1,CD52,CD6,RPS28,NKG7,FLOT1,UBA52,ITM2C,ARL4C
Gene_20,LEF1,OGT,TSHZ2,RPS8,CD5,LINC01943,ZDHHC14,RPS12,HLA-DPA1
Gene_21,RPSA,AOAH,RPS16,RPL19,C1orf162,FAM107B,HAVCR2,EEF1B2,KLRC2
Gene_22,MT-ND1,HCST,CD247,RPL30,FCER1G,,HOXB2,GPR15,LIME1
Gene_23,RPS18,GNLY,LINC02315,RPS13,GBP5,,RPS21,RPL10A,PCED1B-AS1
Gene_24,MT-ATP6,MT-CO1,B2M,CD63,AIF1,,BST2,RPS8,LGALS1
Gene_25,CD6,CRIP1,RPL13,RPL28,AHNAK,,RPS19,B2M,CD81
Gene_26,TXNIP,IL9R,HAVCR2,RPL11,IL7R,,PDE6G,SPOCK2,LINC01684
Gene_27,CCR3,BHLHE40-AS1,IL32,RPL39,BEX3,,GLIPR1,HLA-B,LYAR
Gene_28,RPS6,LAIR2,SESN3,RPL32,ARMH1,,RPL28,IL7R,IL9R
Gene_29,RPL18A,NUCB2,RPL15,RPS12,HOPX,,PRKAR1B,RPS2,GPR171
Gene_30,MALAT1,ITM2A,RPL6,SESN3,LRRN3,,RPS28,LYST,RBPJ
Gene_31,RPL10A,PLEK,RPL4,CFL1,EEF1A1,,AFDN,RPL13,AOAH
Gene_32,NOSIP,MT2A,IFITM1,SELL,PDE4D,,RPL18,RPL12,HLA-A
Gene_33,MT-CO2,GZMK,BEX3,RPS27,B2M,,RPS29,JAML,IL32
Gene_34,CYSLTR1,DUSP1,RPS6,RPL14,FYB1,,,PLIN2,HOPX
Gene_35,RAB34,PDE7B,COTL1,RPL35A,RPLP0,,,MZB1,NME2
Gene_36,RPS5,JUNB,GBP5,CARS,RPS2,,,RPL3,GAPDH
Gene_37,MT-CO1,FTH1,GZMA,RPS18,SH3BGRL3,,,AOAH,HSPB1
Gene_38,RPS23,CTSW,RPS5,RPS25,PASK,,,RPS24,FXYD5
Gene_39,PASK,RPS4X,RPLP1,RPS26,RRS1,,,EEF2,MAP3K8
Gene_40,SESN3,ALOX5AP,ADGRE1,SEPTIN7,IL9R,,,IL2RA,PTPN7
Gene_41,CD9,RPL18A,C5orf17,RPL34,LINC02694,,,EOMES,ATP8B4
Gene_42,RPL19,CDCP1,CCL5,CCL5,CD27,,,RPL6,SIRPG
Gene_43,IL7R,TCF7,PTPRCAP,CD3G,RPL13,,,KLK1,CHD7
Gene_44,TBXAS1,BID,HLA-DQB1,RPS7,CD84,,,FKBP11,NME1
Gene_45,MT-ND4L,RPS18,RPS2,CCL4,RPS8,,,NKG7,CARS
Gene_46,GSTM2,CD27,HOXB2,,HLA-DPA1,,,RPL17,MATK
Gene_47,RPL5,IFITM2,RPS4X,,JAK2,,,EGR1,LINC02694
Gene_48,AQP3,RPS2,PDE7B,,CD74,,,RPL4,ITGAX
Gene_49,MT-ND4,RESF1,RPSA,,GPR15,,,LHFPL6,TNFRSF18
Gene_50,GAS5,SH3BGRL3,EEF2,,RPS23,,,PLAAT4,
Gene_51,HAVCR2,IKZF3,RPS8,,MAL,,,RPLP0,
Gene_52,RPL32,KRAS,RPL29,,HCST,,,UQCRB,
Gene_53,RACK1,PASK,LINC01943,,PYHIN1,,,TSC22D3,
Gene_54,RPS7,RPS19,RPS17,,RPL18A,,,LTB,
Gene_55,RPL13,ARAP2,HLA-DPB1,,CD52,,,SH2D1B,
Gene_56,NKG7,RAMP1,ZP3,,IFITM1,,,LY6E,
Gene_57,S100A4,EPAS1,TCF7,,SLC25A6,,,PDE6G,
Gene_58,MT-ND3,SELPLG,RPL10A,,MALAT1,,,RPL36A,
Gene_59,COTL1,B2M,RPL37A,,MT2A,,,GLIPR1,
Gene_60,EEF1G,PSTPIP2,ITM2A,,RPS12,,,GAS5,
Gene_61,RPS8,FOS,PRF1,,IFITM2,,,RAMP1,
Gene_62,FTH1,RPL32,MAL,,LINC01871,,,MAF,
Gene_63,SPINT2,RPL19,CCL4,,KRT1,,,RPL15,
Gene_64,LGALS3BP,SORL1,RPL37,,MAF,,,RPL7A,
Gene_65,CD27,SATB1,TPT1,,AOAH,,,SH3BGRL3,
Gene_66,RPS4X,RUNX1,RACK1,,RPS18,,,SNED1,
Gene_67,RPL7,LYST,PDE4D,,CCR3,,,AC108134.3,
Gene_68,EEF1B2,CCDC50,RPS3A,,RPSA,,,RPS5,
Gene_69,GZMA,C1orf21,SLC25A6,,CRIP1,,,FOXP3,
Gene_70,RPS3A,IKZF2,RPS18,,RPL18,,,PALLD,
Gene_71,RPS21,RPL28,MALAT1,,MT-CYB,,,PLPP1,
Gene_72,GNLY,TIMP1,NFKBIA,,HLA-DPB1,,,FTH1,
Gene_73,RPL14,JUN,LAG3,,RPS5,,,LIMA1,
Gene_74,SP140,IER2,GBP4,,GNLY,,,DOCK5,
Gene_75,RPL6,PTMA,HLA-DRA,,CACNA2D4,,,RPS6,
Gene_76,DDIT4,NCF4,GBP2,,PDE7B,,,RNF130,
Gene_77,RPL29,LY6E,BTF3,,GZMM,,,RPS23,
Gene_78,ENPP3,GAB3,RPS13,,PRF1,,,IER2,
Gene_79,BTF3,RNF125,RPS12,,LIME1,,,ANXA5,
