Gene,dropout,highly_variable,F_pval,Adj_F_pval
ARMH1,0.9427207637231504,1,1.3551794459821685e-127,2.012922565986845e-122
CCR7,0.9474940334128878,1,2.283136657538284e-75,3.699565581772123e-70
MT-CO3,0.0,1,2.5952644221660643e-66,2.2080509703788874e-62
NCF4,0.6252983293556086,1,1.3333944243636877e-65,3.027613872918306e-61
IFITM2,0.0441527446300716,1,3.2128764932818746e-62,2.8597825699947257e-58
CD7,0.22792362768496421,1,2.8729058891224616e-60,3.1658374975734113e-56
IL32,0.0,0,1.6923700731619268e-55,1.4398684582461673e-51
CCL5,0.10381861575178998,1,1.5883518549851204e-55,1.5079199166304707e-51
IFITM1,0.05489260143198091,1,7.1090526484982445e-53,6.399676907097037e-49
FYB1,0.2732696897374702,1,2.450244303131378e-49,2.8685577354701146e-45
RPLP0,0.0,1,3.557161816142652e-49,3.0264332731741686e-45
MT-ND2,0.0441527446300716,1,2.015719486074806e-47,1.7941926695063032e-43
CD5,0.45823389021479716,1,9.228503564291068e-47,1.4492620875845875e-42
MT-CYB,0.0,1,3.4288093585778033e-46,2.917231002277995e-42
TCF7,0.8078758949880668,1,3.431294272428735e-45,1.5195100931249835e-40
JUN,0.33890214797136037,1,1.5769600786400924e-44,2.0294690578557004e-40
RPS2,0.002386634844868735,1,1.6870148412236297e-42,1.4387459882214685e-38
MT-ATP8,0.010739856801909307,1,5.508388639943335e-41,4.737416226750128e-37
EGR1,0.7064439140811456,1,5.023788308445222e-40,1.4560212844664686e-35
LEF1,0.7828162291169452,1,8.591187593582885e-40,3.365528821468037e-35
RPSA,0.010739856801909307,1,5.4413195409098744e-39,4.679734342111374e-35
MT-ND1,0.014319809069212411,1,1.812073029046423e-37,1.5641094822620336e-33
RPS18,0.003579952267303103,1,1.2413587199828967e-36,1.0599425426702921e-32
MT-ATP6,0.034606205250596656,1,1.2280423659936095e-36,1.0822717637817184e-32
CD6,0.5107398568019093,1,4.459332213693964e-36,7.754565541781147e-32
TXNIP,0.15274463007159905,0,2.520484291639633e-34,2.531029145921163e-30
CCR3,0.7935560859188544,1,1.8053358967109183e-34,7.440179516834348e-30
RPS6,0.002386634844868735,1,1.3860353119538498e-33,1.1820599889687334e-29
RPL18A,0.0,0,1.066998548113737e-32,9.078023647351674e-29
MALAT1,0.0,0,1.365949950483636e-32,1.1621502178714773e-28
RPL10A,0.008353221957040573,1,2.3542589873208045e-32,2.0198760191260034e-28
NOSIP,0.23269689737470167,1,2.3689324371072603e-32,2.6267164965121904e-28
MT-CO2,0.0,1,3.1280676909903655e-32,2.661359991494603e-28
CYSLTR1,0.9498806682577565,1,3.159807540811255e-33,5.363926776893369e-28
RAB34,0.9379474940334129,0,1.1025092404677534e-32,1.5116470272692132e-27
RPS5,0.00477326968973747,0,1.9511490119771342e-31,1.6679993903224726e-27
MT-CO1,0.0,1,3.1177233334251662e-30,2.652559012078131e-26
RPS23,0.0011933174224343676,0,3.2126057145526975e-30,2.736550515348772e-26
PASK,0.7899761336515513,1,1.0884350322610485e-30,4.4092156836657534e-26
SESN3,0.6252983293556086,1,3.15616624822644e-30,7.166411186192689e-26
CD9,0.8926014319809069,1,9.472490151530669e-31,7.504005658147646e-26
RPL19,0.0,0,1.0297475034190807e-29,8.761091759089538e-26
IL7R,0.10143198090692124,1,9.54733039034126e-30,9.039792785303805e-26
TBXAS1,0.8842482100238663,0,2.5485162757347004e-30,1.873213060326886e-25
MT-ND4L,0.014319809069212411,1,3.1775834462316283e-29,2.74276385071809e-25
GSTM2,0.7243436754176611,1,1.0146550294374239e-29,3.1316839922078434e-25
RPL5,0.011933174224343675,0,4.793820793235228e-29,4.127840976426616e-25
AQP3,0.8532219570405728,1,1.8629477501958742e-29,1.0798590265335386e-24
MT-ND4,0.05847255369928401,1,2.520523333952565e-28,2.2776407219486615e-24
GAS5,0.12052505966587113,0,4.4275943520539866e-27,4.283234350368618e-23
HAVCR2,0.8054892601431981,1,1.1330730959371271e-27,4.956120113125963e-23
RPL32,0.002386634844868735,0,8.854010686543652e-27,7.551013804771894e-23
RACK1,0.0011933174224343676,0,1.0704070673243893e-26,9.1179038823548e-23
RPS7,0.0059665871121718375,0,3.517909245246327e-26,3.0110025951344196e-22
RPL13,0.0,0,1.096127801208167e-25,9.325855332679085e-22
NKG7,0.34009546539379476,1,9.570465228146434e-26,1.2338984488060858e-21
S100A4,0.10859188544152745,1,1.320399170139419e-25,1.2602483594296782e-21
MT-ND3,0.014319809069212411,1,2.142740324151712e-25,1.8495283607827793e-21
COTL1,0.25894988066825775,1,2.6855385895266348e-25,3.0832681519971665e-21
EEF1G,0.011933174224343675,0,1.0340176832930843e-24,8.903671512856807e-21
RPS8,0.0,0,1.5366775912675741e-24,1.307405294650452e-20
FTH1,0.0011933174224343676,0,1.6177094054003857e-24,1.3779915434313923e-20
SPINT2,0.8890214797136038,1,3.344671594335944e-25,2.5641417682605754e-20
LGALS3BP,0.9164677804295943,1,2.775762505044547e-25,2.8271950050380197e-20
CD27,0.4928400954653938,0,1.8600531865088415e-24,3.120383210368196e-20
RPS4X,0.0011933174224343676,0,5.790048259134201e-24,4.932058570291774e-20
RPL7,0.022673031026252982,0,6.4226733086293924e-24,5.5911794358032e-20
EEF1B2,0.01909307875894988,1,2.6452855985557807e-23,2.294416461455662e-19
GZMA,0.25178997613365156,1,2.1429162472983807e-23,2.436739799047568e-19
RPS3A,0.002386634844868735,0,1.4792704508302672e-22,1.2615742165509999e-18
RPS21,0.00477326968973747,0,1.631085750507547e-22,1.3943835251482806e-18
GNLY,0.39737470167064437,1,2.0086353600125812e-22,2.835836744717453e-18
RPL14,0.0011933174224343676,0,4.549206874642726e-22,3.875089420665202e-18
SP140,0.3794749403341289,0,5.798687113346531e-22,7.950562058995234e-18
RPL6,0.002386634844868735,0,1.1703160391987257e-21,9.980869552558986e-18
DDIT4,0.5739856801909308,1,5.449872827584596e-22,1.0884028038745435e-17
RPL29,0.003579952267303103,0,3.0070658783382062e-21,2.5676035474313082e-17
ENPP3,0.616945107398568,1,1.6312781261357598e-21,3.6232181249291684e-17
BTF3,0.00954653937947494,0,5.3954119684000144e-21,4.634661481054151e-17
RPL37,0.0,0,9.259130442889643e-21,7.877668180810508e-17
RPS16,0.003579952267303103,0,1.0780009043704726e-20,9.204583664543445e-17
RPL4,0.02028639618138425,1,1.8195999702085666e-20,1.5801716426304384e-16
PHLDA1,0.8711217183770883,1,2.7095073713041213e-21,1.7887023651126367e-16
IER2,0.18138424821002386,1,2.5047726757735618e-20,2.603248945415957e-16
PLAAT3,0.7673031026252983,1,1.0851925156065134e-20,3.9677443175845234e-16
RPS3,0.0,0,5.3850014875675486e-20,4.58155926562247e-16
RPL37A,0.00954653937947494,1,5.866591335046558e-20,5.039404784077925e-16
CISH,0.7708830548926014,1,1.383090339460415e-20,5.135950377923063e-16
RPS13,0.0011933174224343676,0,6.091134408445826e-20,5.188528716419813e-16
RPL15,0.00477326968973747,0,6.343485105184124e-20,5.422922197646483e-16
EEF2,0.008353221957040573,0,6.753951542959496e-20,5.794666104891035e-16
RPL8,0.0,0,7.18625321445523e-20,6.11406423485851e-16
RPL17,0.0,0,7.366556392354172e-20,6.267466178614929e-16
JUNB,0.3412887828162291,1,5.1806515654406905e-20,6.691397135639267e-16
BTG2,0.6682577565632458,0,7.696150989669052e-20,1.9737869962463093e-15
PRF1,0.37828162291169454,1,1.5790234534993682e-19,2.1608387394449634e-15
LIME1,0.3305489260143198,1,2.7126518774966726e-19,3.4474875118708617e-15
CCR2,0.9033412887828163,1,5.2873964213505613e-20,4.654021162331951e-15
RPL7A,0.0011933174224343676,0,5.942701165312395e-19,5.062090832632311e-15
TEX14,0.7852028639618138,1,1.4119574969569996e-19,5.5926883410468374e-15
RPL36A,0.016706443914081145,1,1.6518237070711168e-18,1.429249282961137e-14
GZMK,0.766109785202864,1,5.045804136789354e-19,1.835463772310388e-14
ALOX5AP,0.5083532219570406,1,1.155967124292002e-18,2.000413453867278e-14
RPL26,0.0,0,2.5771637694499804e-18,2.1926509350480432e-14
NME2,0.057279236276849645,0,3.09968756986938e-18,2.7974499829934176e-14
MZB1,0.711217183770883,1,1.107279188784024e-18,3.262220190657112e-14
ID2,0.27923627684964203,1,4.159305340270985e-18,4.909704622806524e-14
RPS14,0.0011933174224343676,0,7.653956901525337e-18,6.519766682990777e-14
FTL,0.002386634844868735,0,1.3626566336820995e-17,1.1621218243767703e-13
RPS12,0.0011933174224343676,0,1.3909822102627724e-17,1.184861580458701e-13
AFDN,0.8818615751789977,0,2.6580869304136277e-18,1.914280103042199e-13
EEF1A1,0.0011933174224343676,0,2.7221592289385933e-17,2.31878011268822e-13
IL2RA,0.7744630071599046,1,1.654567736554479e-17,6.241575772266358e-13
HOPX,0.2458233890214797,1,7.617625814114451e-17,8.593578676803016e-13
HMGA1,0.5143198090692124,1,1.1975846826821519e-16,2.097892949006798e-12
CD59,0.6121718377088305,1,1.239610475135936e-16,2.719401773236487e-12
RPL13A,0.003579952267303103,0,3.609181629401389e-16,3.0817241556730065e-12
RPL28,0.0011933174224343676,0,4.2092920583905234e-16,3.585544375851272e-12
BEX3,0.7995226730310262,1,9.360219184949998e-17,3.972356676417543e-12
C1orf162,0.9367541766109785,1,3.047077520225636e-17,4.099011468728828e-12
SOS1,0.3042959427207637,1,4.790942056657257e-16,5.8590049305518816e-12
TIAM1,0.9284009546539379,0,5.292085622541014e-17,6.288500671895522e-12
LSP1,0.03818615751789976,0,9.288513089074744e-16,8.216420462187165e-12
RPL27A,0.03579952267303103,0,1.5311469924475782e-15,1.3510674302774094e-11
SLC25A5,0.11933174224343675,1,2.6044542600196884e-15,2.5161230291977524e-11
LDHB,0.00954653937947494,0,4.9532636942856475e-15,4.2548559005064045e-11
RPL24,0.002386634844868735,0,7.997452952451816e-15,6.820511041256881e-11
TMIGD2,0.9498806682577565,1,4.082993950674918e-16,6.9310805481197e-11
RPS9,0.0059665871121718375,0,8.669260970996162e-15,7.420079786549245e-11
RPS20,0.08472553699284009,0,1.1161622959528622e-14,1.0375367387358938e-10
TRG-AS1,0.5966587112171837,1,7.922952205062652e-15,1.6712515984687576e-10
PDE4B,0.8389021479713604,1,3.3668221252849545e-15,1.778107049920937e-10
RPL23A,0.003579952267303103,0,2.411203358073809e-14,2.0588223026194336e-10
CLDND1,0.301909307875895,0,2.5904855759931955e-14,3.1571616022394853e-10
IL9R,0.6181384248210023,1,1.8737414054602465e-14,4.174756747961106e-10
HLA-DPA1,0.711217183770883,1,2.4294076825125644e-14,7.157420525471306e-10
MT-ND5,0.05489260143198091,1,1.0561861262387416e-13,9.507947536602097e-10
CDKN2A,0.9081145584725537,0,1.2429789038483616e-14,1.1509183977510757e-09
PPIA,0.007159904534606206,1,1.9226576993487709e-13,1.6475937848170348e-09
FLOT1,0.7553699284009546,1,7.324077494269697e-14,2.5472441271807137e-09
PDE7B,0.10620525059665871,1,3.369811251165102e-13,3.207711182466867e-09
GLIPR1,0.5429594272076372,0,1.8974011602666336e-13,3.532091029231765e-09
RPL3,0.0,0,5.42768064833752e-13,4.617870695605562e-09
SRGN,0.03341288782816229,0,6.333132888823215e-13,5.574489245675856e-09
ACTG1,0.0011933174224343676,1,7.086619229365182e-13,6.036499099890305e-09
FBL,0.42601431980906923,0,4.475242618847081e-13,6.6335041997015615e-09
MYL6,0.003579952267303103,0,8.747020068573353e-13,7.468702271974577e-09
SNHG29,0.059665871121718374,1,9.66698106805632e-13,8.746537257467693e-09
RPL35A,0.002386634844868735,0,1.1502327973245e-12,9.809592555042678e-09
NACA,0.007159904534606206,0,1.3033515824450799e-12,1.1168883402361799e-08
ATP8B4,0.6372315035799523,1,6.095995320753845e-13,1.4296921783671043e-08
MGST3,0.383054892601432,1,1.272889686322973e-12,1.755382338130686e-08
RPL18,0.002386634844868735,0,2.279371539545895e-12,1.9439287539457568e-08
CAPG,0.4606205250596659,1,1.3435735900193803e-12,2.1193101767821982e-08
LPAR5,0.9451073985680191,0,1.6314029210048366e-13,2.528569550326057e-08
PPA1,0.4009546539379475,0,2.4727700742440306e-12,3.511975834545411e-08
PDE4D,0.28758949880668255,1,3.092288307054507e-12,3.6929816267939273e-08
LGALS9,0.815035799522673,0,8.152445947923208e-13,3.749969450625283e-08
AIF1,0.8937947494033412,1,5.447780006645659e-13,4.364163921854109e-08
UBC,0.016706443914081145,0,5.997926036144378e-12,5.18973753053431e-08
ISG15,0.5584725536992841,0,2.8001050382576104e-12,5.3956540788339034e-08
RPS24,0.0,0,8.043545989090729e-12,6.843448927518392e-08
MXRA8,0.8245823389021479,1,1.522426679711467e-12,7.383980672139839e-08
BST2,0.2243436754176611,0,7.002403524626322e-12,7.68077914140652e-08
CCR4,0.5715990453460621,1,4.3122680987684184e-12,8.564121201354204e-08
EIF3L,0.13723150357995226,0,1.4044880522705585e-11,1.3850047142774011e-07
IL12RB2,0.7708830548926014,0,4.058538336752703e-12,1.507092552796828e-07
HCST,0.1360381861575179,0,1.6308583241796424e-11,1.6060134139968085e-07
ERP29,0.17541766109785203,0,2.18292728224054e-11,2.2523336289290172e-07
CD82,0.41766109785202865,0,1.799783000544622e-11,2.629491815187498e-07
RPS15A,0.0011933174224343676,0,3.2391029675698184e-11,2.759121312341028e-07
C1QBP,0.45584725536992843,0,1.8882675712753468e-11,2.9523659771912555e-07
CD48,0.12291169451073986,0,3.1418497060370037e-11,3.0476814172150815e-07
DOCK8,0.27923627684964203,0,2.927011868306173e-11,3.455087454554635e-07
RPL22,0.01909307875894988,0,4.5761225621896184e-11,3.969148337729145e-07
RPL31,0.017899761336515514,0,4.9335461675050076e-11,4.2739640151452153e-07
B2M,0.0,0,6.286140231148017e-11,5.348248108660732e-07
TSPYL2,0.8532219570405728,0,1.3452436089043253e-11,7.797714422259841e-07
FOS,0.5751789976133651,1,4.58214407936313e-11,9.176778362699893e-07
CD3G,0.18615751789976134,0,9.307074456980511e-11,9.729719352526653e-07
