,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample4', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_1,ARMH1,CCL5,NOSIP,TCF7,MAL,GSTM2,KLRC1
Gene_2,CCR7,NKG7,IL7R,PLAC8,TRG-AS1,CD7,XCL1
Gene_3,MT-CO3,PECAM1,SP140,SPINT2,CD44,CCL5,AHNAK
Gene_4,NCF4,BEX3,LEF1,CD7,LAG3,IFITM2,RAMP1
Gene_5,IFITM2,ENPP3,CXCR6,LEF1,LITAF,PLAAT3,CD8B
Gene_6,CD7,SIRPG,CD5,RPS4X,KLRB1,S100A6,ITGB1
Gene_7,IL32,FXYD5,AQP3,GSTM2,RPS2,IL32,AC069277.1
Gene_8,CCL5,SPINT2,CD7,FTL,FCER1G,HLA-A,COL6A2
Gene_9,IFITM1,CST7,RPL18A,SPOCK2,RPL41,ZEB2,CST7
Gene_10,FYB1,NELL2,BST2,SIRPG,NELL2,MAL,TESC
Gene_11,RPLP0,EOMES,GSTM2,CD6,ENTPD1,S100A4,ITM2C
Gene_12,MT-ND2,TRG-AS1,CRIP1,CCL5,RPL10,ANXA1,SP140
Gene_13,CD5,HOPX,RPS7,FTH1,IL9R,NME2,TOX
Gene_14,MT-CYB,PRF1,RPL5,MT-CO3,CD81,LINC01943,KRT7
Gene_15,TCF7,GSTM2,HLA-DRB1,LGALS1,MMP25,SESN3,ERVMER61-1
Gene_16,JUN,CDKN2A,IFITM2,GZMA,CXCR3,RPS16,TNFSF10
Gene_17,RPS2,C1orf162,RPLP0,MT-CO1,NPDC1,ARG2,LAT2
Gene_18,MT-ATP8,IFITM1,HLA-DPA1,PECAM1,NKG7,ITM2C,CTSW
Gene_19,EGR1,CD52,CD6,NKG7,UBA52,EEF1A1,ARL4C
Gene_20,LEF1,OGT,TSHZ2,CD5,ZDHHC14,RPS12,HLA-DPA1
Gene_21,RPSA,AOAH,RPS16,C1orf162,HAVCR2,RPL10A,KLRC2
Gene_22,MT-ND1,HCST,CD247,FCER1G,HOXB2,EEF1B2,LIME1
Gene_23,RPS18,GNLY,LINC02315,GBP5,RPS21,GPR15,PCED1B-AS1
Gene_24,MT-ATP6,MT-CO1,B2M,AIF1,BST2,B2M,LGALS1
Gene_25,CD6,CRIP1,RPL13,AHNAK,RPS19,SPOCK2,CD81
Gene_26,TXNIP,IL9R,HAVCR2,IL7R,PDE6G,RPS8,LINC01684
Gene_27,CCR3,BHLHE40-AS1,IL32,BEX3,GLIPR1,HLA-B,LYAR
Gene_28,RPS6,LAIR2,SESN3,ARMH1,RPL28,IL7R,IL9R
Gene_29,RPL18A,NUCB2,RPL15,HOPX,PRKAR1B,LYST,GPR171
Gene_30,MALAT1,ITM2A,RPL6,LRRN3,RPS28,RPS2,RBPJ
Gene_31,RPL10A,PLEK,RPL4,EEF1A1,AFDN,RPL12,AOAH
Gene_32,NOSIP,MT2A,IFITM1,PDE4D,RPL18,JAML,HLA-A
Gene_33,MT-CO2,GZMK,BEX3,B2M,RPS29,AOAH,IL32
Gene_34,CYSLTR1,DUSP1,RPS6,FYB1,,PLIN2,HOPX
Gene_35,RAB34,PDE7B,COTL1,RPLP0,,RPL13,NME2
Gene_36,RPS5,JUNB,GBP5,RPS2,,MZB1,GAPDH
Gene_37,MT-CO1,FTH1,GZMA,SH3BGRL3,,EEF2,HSPB1
Gene_38,RPS23,CTSW,RPS5,PASK,,RPL3,FXYD5
Gene_39,PASK,RPS4X,RPLP1,RRS1,,KLK1,MAP3K8
Gene_40,SESN3,ALOX5AP,ADGRE1,IL9R,,RPS24,PTPN7
Gene_41,CD9,RPL18A,C5orf17,LINC02694,,NKG7,ATP8B4
Gene_42,RPL19,CDCP1,CCL5,CD27,,FKBP11,SIRPG
Gene_43,IL7R,TCF7,PTPRCAP,RPL13,,RPL6,CHD7
Gene_44,TBXAS1,BID,HLA-DQB1,CD84,,IL2RA,NME1
Gene_45,MT-ND4L,RPS18,RPS2,RPS8,,RPL17,CARS
Gene_46,GSTM2,CD27,HOXB2,HLA-DPA1,,EOMES,MATK
Gene_47,RPL5,IFITM2,RPS4X,JAK2,,EGR1,LINC02694
Gene_48,AQP3,RPS2,PDE7B,CD74,,RPL4,ITGAX
Gene_49,MT-ND4,RESF1,RPSA,GPR15,,PLAAT4,TNFRSF18
