,exp1_abs,exp1_norm,exp1_perc,exp2_Sample1_perc,exp2_Sample2_perc,exp2_Sample3_perc,exp2_Sample4_perc,exp2_Sample5_perc,exp2_Sample6_perc,exp2_Sample1,exp2_Sample2,exp2_Sample3,exp2_Sample4,exp2_Sample5,exp2_Sample6,exp3_Sample1,exp3_Sample1_perc,exp3_Sample4,exp3_Sample4_perc,exp3_Sample2,exp3_Sample2_perc,exp3_Sample3,exp3_Sample3_perc,exp3_Sample5,exp3_Sample5_perc,exp3_Sample6,exp3_Sample6_perc
non,3183,1445.8133749935555,0.24096889583225925,0.5202205882352942,0.3284473398479913,0.2801182557280118,0.39967195188627663,0.3877139979859013,0.3701848998459168,283,605,379,731,1155,961,4094.0,0.5813689292814541,2023.0,0.37126078179482475,1593.0,0.41184074457083764,1144.0,0.3683193818415969,582.0,0.33086981239340535,417.0,0.396011396011396
18,82,44.71101417666303,0.007451835696110505,0.014705882352941176,0.009229098805646038,0.0066518847006651885,0.028430836522689993,0.00872776099362202,0.016563944530046226,8,17,9,52,26,43,31.0,0.004402158477705197,41.0,0.007524316388328133,8.0,0.002068252326783868,17.0,0.005473277527366388,23.0,0.013075611142694713,13.0,0.012345679012345678
17,269,146.67393675027262,0.024445656125045435,0.012867647058823529,0.017915309446254073,0.0,0.01913613996719519,0.03793219201074186,0.01386748844375963,7,33,0,35,113,36,,,,,,,,,,,,
15,222,121.04689203925845,0.020174482006543076,0.03860294117647059,0.03745928338762215,0.009608277900960829,0.01038819026790596,0.002014098690835851,0.0065485362095531584,21,69,13,19,6,17,55.0,0.007810281170122124,62.0,0.011378234538447421,10.0,0.0025853154084798345,77.0,0.024790727623953637,53.0,0.030130756111426946,22.0,0.020892687559354226
1,477,260.0872410032715,0.04334787350054525,0.02389705882352941,0.0727470141150923,0.11382113821138211,0.06451612903225806,0.10137630077207116,0.033513097072419104,13,134,154,118,302,87,636.0,0.09031525134904857,1062.0,0.1948981464488897,708.0,0.18304033092037228,516.0,0.16613007083065034,219.0,0.1245025582717453,117.0,0.1111111111111111
13,57,31.079607415485277,0.005179934569247546,0.001838235294117647,0.003257328990228013,0.025129342202512936,0.007107709130672498,0.02484055052030883,0.02349768875192604,1,6,34,13,74,61,189.0,0.0268389662027833,200.0,0.036703982382088454,142.0,0.03671147880041365,62.0,0.019961365099806824,45.0,0.025582717453098352,19.0,0.018043684710351376
46,2,1.0905125408942202,0.0001817520901490367,0.0,0.006514657980456026,0.0,0.0005467468562055768,0.0,0.0003852080123266564,0,12,0,1,0,1,,,,,,,,,,,,
2,1180,522.8178998670802,0.08713631664451336,0.025735294117647058,0.021172638436482084,0.023651145602365115,0.0754510661563696,0.03121852970795569,0.053543913713405236,14,39,32,138,93,139,276.0,0.03919341096279466,599.0,0.10992842723435493,124.0,0.03205791106514995,298.0,0.09594333547971667,193.0,0.10972143263217737,121.0,0.11490978157644824
19,309,136.90739920248117,0.022817899867080195,0.001838235294117647,0.004343105320304018,0.0022172949002217295,0.011481683980317113,0.01745552198724404,0.017334360554699536,1,8,3,21,52,45,99.0,0.014058506106219825,95.0,0.017434391631492015,47.0,0.012150982419855223,52.0,0.01674179008370895,42.0,0.023877202956225127,15.0,0.014245014245014245
23,263,116.52636242800178,0.019421060404666964,0.007352941176470588,0.021715526601520086,0.0,0.004920721705850191,0.008056394763343404,0.00423728813559322,4,40,0,9,24,11,,,,,,,,,,,,
