Gene,adj_F_pval_well
KRT1,6.409095450324839e-123
ITM2A,1.4281656056771564e-112
AOAH,5.978776442015725e-105
IL4R,4.047686366565877e-86
IL7R,1.6435377790008822e-85
GSTP1,5.4096139940938067e-73
CCL5,6.368877231075316e-72
GAPDH,5.471633656139209e-67
MMP25,8.98929402920025e-67
DAD1,6.562215102445053e-66
IL9R,2.6214740411467945e-65
KLRC2,3.4098348960673726e-65
ITGB1,8.069432976946445e-65
TIGIT,5.886065648685667e-64
S100A6,1.9194997280528888e-62
ATP8B4,3.403966627919119e-61
CST7,5.179627039035997e-60
CCR4,2.941013911735024e-59
XCL1,4.276897916439552e-59
ENTPD1,5.654119993699042e-58
S100A4,9.647214194008654e-56
ASB2,6.3015126061987905e-53
LIME1,8.310249917850966e-53
RPL6,1.2143100927725475e-52
CAPG,3.228991156657739e-50
LINC02055,1.7040222923223303e-49
TNFSF10,4.95978202267888e-49
RNF125,2.9594606806823996e-48
TMSB4X,9.341078232479808e-47
RPS8,4.264024740867206e-46
GAB2,1.9135537684771507e-44
ITGA1,4.826487218506567e-44
LINC01943,5.927649301080672e-44
SH3BGRL3,1.2176712860593253e-43
KLF2,4.990194780390278e-43
ENPP3,2.3272718844699854e-42
KLRB1,4.5846600313262745e-42
AC011246.1,6.948559840478865e-42
ACTB,1.0259692530616646e-41
SLAMF7,1.6683307674498338e-40
LTB,2.893712330385891e-40
ALOX5AP,1.0404712494647911e-39
P2RY8,1.390366237454582e-39
KLRC1,2.152802771517138e-39
IFITM2,3.681561241961886e-39
PCED1B-AS1,1.8761558077344455e-38
B2M,3.5391611761566626e-38
HLA-DPA1,2.3513487522556475e-37
CXCR4,2.4204320977388653e-37
CSF1,2.4787921055376522e-37
HOPX,2.8416497047199827e-37
PRSS21,4.569040480183704e-37
NFAT5,6.067206417038785e-37
VIM,4.103526433901265e-36
CD96,7.06643174108648e-36
HPGD,7.312689054766137e-36
KLRC4,3.11406529722742e-35
LGALS3BP,1.0537911316251887e-33
IL5,1.340906775750386e-33
NCF4,2.274214320674988e-33
CD63,3.403272270386662e-33
RHOC,1.1793994750719504e-32
RPL10,2.8626829705003577e-32
CD52,8.00236704133028e-32
RPL5,8.896213292708421e-32
LGALS1,1.5086443736383599e-31
PTPN7,1.7976380446813139e-31
TNFRSF18,3.1465688317808363e-31
ARL4C,6.529422721938418e-31
KIAA0825,1.1540858507031584e-30
RPL13,1.307487915664261e-30
IL4,1.4910326963278251e-30
PKM,1.5825157928432774e-30
IL16,2.449567366223674e-30
LYAR,8.076311126421862e-30
LRRN3,1.468455015673765e-29
ITM2C,1.9620911412834492e-29
GPR15,2.025812189789373e-29
RPL30,2.0973774531428254e-29
CTSD,2.3705447933347746e-29
HLA-DMA,2.4554879216566967e-29
LINC00892,3.066722195620112e-29
LSP1,4.475090829284038e-29
IL2RG,1.1200069760312712e-28
CREM,1.498015446115682e-28
IKZF2,2.290456228703413e-28
GBP5,2.9837940152092984e-28
TOX,3.75645199767564e-28
SEPTIN6,4.39062470010508e-28
CLEC2B,8.070660365059055e-28
HAVCR2,2.097693457428442e-27
BATF,4.221673236799388e-27
TESC,4.618942042588129e-27
GPR68,1.9574455928053972e-26
AHNAK,1.9718044085499923e-26
LINC01871,2.107523389204862e-26
ACTG1,2.6364856462141193e-26
MALAT1,6.780372017791108e-26
RPS16,7.065551459391731e-26
NELL2,8.025891001880815e-26
LAYN,2.089056580005004e-25
CLECL1,2.5462429760150493e-25
SPINT2,3.976572603969663e-25
ITGAD,4.308078841631942e-25
SARAF,4.87047185437244e-25
MAL,6.654907137142004e-25
CCL3,6.974131450229591e-25
RPS7,1.0195901392710518e-24
EMP3,1.821647663041067e-24
TNFRSF11A,1.93433419745236e-24
RBM47,2.5347733718884854e-24
CD44,2.6978865763903785e-24
DUSP6,3.229557571951011e-24
HLA-B,4.786269769056371e-24
HLA-DRB1,8.366388867291096e-24
EVA1B,1.8673836217889874e-23
NSMCE1,1.9451763033348382e-23
CDKN2A,2.117984634173853e-23
ZFP36,3.1386774967956963e-23
RPS18,3.20073735220913e-23
RPL39,6.395903247913358e-23
S100A10,7.199525587363526e-23
FAU,1.0259849821938329e-22
TPRG1,1.1666742115965195e-22
GLO1,1.3066997788444713e-22
NDFIP2,1.7362223192948767e-22
EVL,3.104944079196564e-22
JAML,3.749451516656061e-22
CTSW,5.14597797118154e-22
RPS13,5.838333053421491e-22
SIT1,7.305598959841676e-22
BLOC1S1,8.294525052142545e-22
AP001831.1,8.336840599122771e-22
PDE7B,9.121817829185305e-22
ERN1,1.1257539010340524e-21
HMOX1,1.6588571881377505e-21
S1PR1,2.1366308411444212e-21
PLPP1,2.2722467799329275e-21
RPL34,2.9134233511580873e-21
AP003086.1,3.789894134089668e-21
CRIP1,5.847662868143888e-21
CCDC50,6.7540453367150115e-21
HOMER2,7.009547260661377e-21
SLC1A4,8.56048683976697e-21
RPL37,9.930988195357622e-21
DPEP2,1.3001087147395499e-20
DLEU2,1.3243734570791277e-20
GZMB,1.6464342100660064e-20
FTH1,1.6523811407061984e-20
ID2,2.157423139470974e-20
HPGDS,2.4523451070062136e-20
RPL18A,2.5054315249473043e-20
HCST,3.9552993540682016e-20
AL136962.1,6.220712506104475e-20
SRGN,6.456061251956256e-20
RPS27,7.93560152912955e-20
CD2,9.243967226498986e-20
CXCR6,1.2073167628072992e-19
CKLF,1.3583764918789484e-19
GZMK,1.490488809315907e-19
LINC02416,2.537643906875429e-19
AL606807.1,2.6469754886430974e-19
GLIPR1,2.8108973570425607e-19
ENG,3.3060840316030646e-19
ANXA1,7.688399824698848e-19
RPS14,7.963282606351257e-19
FXYD5,9.015164840127155e-19
PHLDA1,1.0816523126294168e-18
DPP4,1.1418658776869665e-18
